"storm_year","max_residual","mean_sea_level"
1966,36.5628816724385,228.750407450524
1967,62.7185383759506,229.877413127413
1968,41.9223902328692,226.156989981785
1969,34.2147471312497,229.732420091324
1970,50.3110880652237,228.878831246273
1971,33.6063730034437,230.180705369046
1972,40.7205662544864,233.435145964511
1973,48.9669164437544,227.36870087841
1974,33.5609930899587,230.295433789954
1975,25.2455103214326,231.550948602967
1976,30.2292109307723,233.00356403771
1977,31.2425694275408,227.830365296804
1978,28.9941497150635,230.977534562212
1979,30.4149576547331,227.547602739726
1980,51.1671874494091,227.112532845881
1982,32.173749879465,231.853395945482
1983,44.9543784395149,229.764509442653
1984,39.0574377019027,232.363729508197
1985,29.7513579756328,229.874315068493
1986,25.2229473603355,227.61803652968
1987,90.8967824301557,233.169865763392
1988,34.0613616147871,234.295081967213
1989,20.0327909773432,230.461073059361
1990,67.4480434965495,234.733535730967
1991,36.7834847994388,233.001141552511
1992,32.3953580392802,237.626021876799
1993,24.5167787532775,230.4392652124
1994,50.9452384877241,231.957648401826
1995,31.0947369949816,233.398744292237
1996,28.537265798427,229.990209471767
1997,26.1831175528472,234.830707762557
1998,37.8356609971657,236.151417377276
1999,35.799135276793,236.145821917808
2000,28.0541801449053,239.998133270321
2001,22.1044151664869,239.087475379446
2002,25.5314040426329,237.915228310502
2003,34.3603530196604,236.174870145931
2004,44.5858597920984,236.99852003643
2005,62.3647761056609,237.975228310502
2006,48.0104362626539,236.711073059361
2007,39.8569300475268,237.858131487889
2008,41.5241671210028,237.330270947177
2009,27.8336143370615,238.0600456621
2010,23.9536773894009,238.972146118721
2011,27.6419576094357,236.975114155251
2012,36.11305405936,239.756716757741
2013,24.0304283697221,242.505593607306
2014,27.0918231025236,240.011872146119
2015,43.9768797950856,238.46404109589
2016,72.0465716505537,241.974840619308
2017,25.010663630088,242.366884232223
2018,46.7803568486255,240.173958093484
2019,46.0664013322459,245.331938159879
2021,33.5407877731725,245.230340088516
2022,30.0036087207341,246.840482859811
2023,24.8929417389503,242.927646008671
2024,25.3814718250985,230.962891596221
2025,24.5371927986333,230.74598540146
