"storm_year","max_residual","mean_sea_level"
1968,31.6368645990361,218.179758652095
1969,51.5595659832764,226.69703196347
1970,34.9053575182842,219.374543378995
1971,42.2688904765341,223.091780821918
1972,49.3332082508018,226.651639344262
1973,57.2552832942677,227.572374429224
1974,28.7195260031891,225.855707762557
1975,39.3600452648679,226.736757990868
1976,41.7803419939415,225.127504553734
1977,37.9349003326897,217.80521293926
1978,25.9001094829348,224.965630885122
1979,25.6958056927161,220.828352856801
1980,51.14918325112,218.848360655738
1981,54.6558284673115,222.0649543379
1982,33.2907979868837,221.593721461187
1983,66.1950204905573,218.143872320596
1984,34.1596220011001,215.921095954845
1985,30.6588634463542,216.940810349036
1986,30.3861808409448,217.003024310806
1987,28.8968199551699,222.632876712329
1988,26.7626084227914,218.767873406193
1989,26.244430047114,218.459575455284
1990,33.0536919838111,224.447084481175
1991,47.2674955823398,217.884132420091
1992,61.9708312138217,224.48505403541
1993,55.8291431606832,220.462181903864
1994,59.977104257444,222.030876017233
1995,31.736638587308,224.512655205349
1996,34.3315625313622,215.368055555556
1997,47.8002842779556,219.901712840556
1998,45.9677911169568,222.424200913242
1999,41.0778805787668,223.694634703196
2000,58.7250859916102,223.692736794171
2001,32.1883273830924,220.174657534247
2002,26.834466990341,221.328310502283
2003,34.5144824600031,224.15296803653
2004,42.9767408876908,225.340050091075
2005,78.0677903452875,221.367237442922
2006,74.3065777034524,219.497602192281
2007,45.9486566170361,223.98720146269
2008,39.4118341587829,220.602404121351
2009,23.7774338691437,218.146866230122
2010,27.6257604331621,222.113787861069
2011,25.0697313876037,222.71374743092
2012,37.1248982693013,225.595129201921
2013,25.2224836892355,226.070245573958
2014,31.6907847429868,219.962895307684
2015,50.9364088016493,224.036643835616
2016,48.7683935743796,226.625455373406
2017,29.7885132987663,226.080251141553
2018,41.9910797986737,220.504453071478
2019,41.6265529468,222.687007199177
2020,49.9821748724918,222.839025500911
2021,38.3564785460046,224.826712328767
2022,44.3376641655104,224.805070229531
2023,68.1305452551307,224.570515016558
