"storm_year","max_residual","mean_sea_level"
1966,69.4500489634382,53.8883295194508
1967,62.4034528640076,60.2561439944618
1968,66.8134920239362,56.7194936115344
1969,55.1019572614476,51.8442613161352
1970,73.9544379137703,56.1835490293678
1971,62.8043962750888,59.1267557382665
1972,69.0372012310307,53.5475865209472
1973,63.1281090118526,59.2163749559497
1974,83.8107816331494,64.8654687315286
1975,66.2409866244563,66.4728610855566
1976,83.809475405066,61.3823345427249
1977,65.4168983345671,55.4383561643836
1978,157.546802447834,60.4259606373008
1979,54.1704541804135,55.5606704167145
1980,50.1254436987954,55.746999076639
1981,65.572944846595,57.9293378995434
1982,52.0264316400866,52.3614864864865
1983,75.1382222262946,59.4760096651709
1984,62.1290393617899,62.3356335514575
1985,55.4050203353585,59.1462328767123
1988,88.6465387648203,65.3906109163746
1989,49.4583735547924,64.5138280709841
1990,76.6641687284213,55.6540639269406
1991,69.8939595097823,56.7862442922374
1992,51.7320671478976,55.0869220915337
1993,58.6151309975985,50.156803652968
1994,51.530376007543,54.7702739726027
1995,62.1121940976469,59.7582077625571
1996,68.8701069211074,65.8738953418752
1997,60.9564593422289,54.2529788519637
1998,70.4285990538462,59.061404109589
1999,67.6372212663873,71.1146169820028
2000,50.0790993248439,69.3224954462659
2001,45.9237064054139,62.3373059360731
2002,66.88846622749,56.2728196347032
2003,97.8072383208623,59.2023630136986
2004,76.8652247033908,58.4275262543757
2005,57.5882236521588,59.3257491541808
2007,84.7532810670699,61.6698630136986
2008,63.3836729301027,67.9786241069371
2009,75.1407360077811,62.6215867579909
2010,44.8819462883773,61.4350456621005
2011,51.225641661213,74.407602739726
2012,100.352783551741,71.8945469034608
2013,83.7638679544729,72.2203424657534
2014,61.8556814550289,64.3318630829313
2015,60.7948107027506,59.7676940639269
2016,63.329714821529,60.8436211635364
2017,67.2410331808335,65.0334634818558
2018,72.1504509776503,62.7882305936073
2019,61.3113304838943,60.183062426384
2020,90.3018395014939,66.7907890203285
2021,64.5779558806761,72.6654166666667
2022,67.6721947087341,74.0114806743893
