"storm_year","max_residual","mean_sea_level"
1966,43.1147823838989,53.0804794520548
1967,45.8064196384683,54.9481735159817
1968,49.1050779234746,55.7200591985428
1969,39.299934448289,50.883381253594
1971,47.4407591493071,59.5907514450867
1972,54.7597556883774,52.7249447095798
1973,63.4246521454327,57.310502283105
1974,72.7624732580663,62.9063926940639
1975,78.038919191374,63.5810502283105
1976,56.6110681782427,56.535500427716
1977,48.3298543133594,54.1723744292237
1978,70.4282650288855,59.7600456621005
1979,72.0165742958492,54.2151826484018
1980,47.6215772558453,54.0495839112344
1981,48.9037109128122,57.2316356513222
1982,55.2535500721895,52.0084474885845
1983,56.1563576256831,55.8913369477448
1984,47.9190924077281,61.4246008958309
1985,47.4195282180512,57.4271452341336
1986,46.7551096121133,53.2538812785388
1987,47.7392329520225,48.0961643835616
1988,58.2719284885486,60.6380673331035
1989,51.5492192455995,61.9832762557078
1990,65.3034784766096,52.584200913242
1991,56.2501121470181,51.4516438356164
1992,41.3099686642846,51.3824888482214
1993,49.7358794450717,46.5099086757991
1994,51.6036539330858,51.2780593607306
1995,51.2184551380639,56.8494406392694
1996,55.8597571913149,61.6901183970856
1997,67.3536314941807,51.452796803653
1998,51.4339638216032,57.613002283105
1999,50.7107905803102,67.0747190301806
2000,44.3984858722256,67.2826161202186
2001,51.9393412429363,62.1805593607306
2002,47.5337934121435,54.7199885844749
2003,54.9902377365286,54.8422488584475
2004,80.2288229360341,55.7550091074681
2005,52.1282851672315,57.3880936073059
2006,49.787021839456,58.8393721461187
2007,50.7014958100476,60.449303652968
2008,53.6646609594377,69.4035177595628
2009,51.3704090436843,64.0312785388128
2010,59.8442612144582,64.0636073059361
2011,48.4182406159904,76.4884360730594
2012,62.9015607461547,72.8682490892532
2013,57.3804368636395,70.9043259327077
2014,51.2036404162854,64.108904109589
2015,42.0197361333513,59.7756300578035
2016,48.6524314294673,60.1712204007286
2017,41.58856542568,64.4708523765996
2018,75.475204002429,61.3786872146119
2019,61.9381801805542,58.5044063926941
2020,78.4268117628331,65.7400842440802
2021,68.3285031568524,72.1642922374429
2022,49.0783146152104,74.5441384826325
