"storm_year","max_residual","mean_sea_level"
1906,24.4908111631197,125.990262557078
1907,19.695514478101,131.190970319635
1908,28.7355267927447,131.508025956284
1909,20.1373025228635,124.289703196347
1910,20.5848276468265,119.204452054795
1911,22.0728971711314,126.461244292237
1912,22.7140044991331,124.70474726776
1913,13.9275998620508,128.314726027397
1914,28.2032702801448,131.100399543379
1915,28.6443283440546,134.671461187215
1916,19.8734221380293,137.114435336976
1917,31.52205256158,129.54404109589
1918,17.3757275460686,130.350263580105
1919,18.2095942117732,128.05303652968
1920,15.5762785516085,140.054599271403
1922,11.0022798800559,133.245645714286
1923,18.3766681462723,132.294052511416
1924,14.6280828459736,131.4764571949
1925,11.5855070127496,131.094417808219
1926,13.0829898521264,135.05953196347
1927,16.7455313295521,129.237511415525
1928,15.5338232724429,132.859904371585
1929,17.0123650653189,125.101392694064
1930,13.8061963282339,131.3175
1931,19.4270660570345,135.036780821918
1932,20.5558153780395,132.490220856102
1933,16.7484843709121,134.637899543379
1934,17.5018488115533,130.96848173516
1935,16.7457975813775,130.520582191781
1936,20.1137834148913,135.148053278689
1937,14.1608522460074,133.033926940639
1938,12.0830151465056,132.600239726027
1939,13.1895320511834,132.551792237443
1940,14.1009956304661,135.59595856102
1941,12.9366484846227,140.521141552511
1942,11.6422724671549,135.943264840183
1943,13.9118875861881,139.621630924014
1944,14.6763428159779,142.154713114754
1945,15.8909946133452,136.231312785388
1946,26.193496160323,135.220593607306
1947,15.5184346124704,135.004805936073
1948,20.3982351458782,135.878392531876
1949,25.058046005398,137.586575342466
1950,15.8067454960621,133.580662100457
1951,17.2685612341225,135.441407259485
1952,16.1377691729367,137.542474954463
1953,41.6615088172492,135.858019146673
1954,14.2464599023154,136.927328767123
1955,17.4301513756688,133.818401826484
1956,16.4221503076446,130.68016848816
1957,15.248012477685,136.132077625571
1958,21.2953064016021,133.701598173516
1959,20.2126345072051,144.534417808219
1960,61.9858038239833,139.084517304189
1961,17.8991695827679,136.492248858447
1962,17.0030758344912,142.759195603882
1963,20.0365418283107,138.763744292237
1964,46.4989636600202,138.393146630237
1965,13.4766793222755,136.999851598174
1966,14.5645155971473,137.77154109589
1967,12.2790238920051,135.887705479452
1968,16.7989427519571,135.998676335175
1969,14.9216419686367,144.232785388128
1970,39.7874393554476,137.141609589041
1971,15.3740770110713,135.225365296804
1972,15.0807222083658,135.154303278689
1975,13.5019250485458,140.823881278539
1976,12.9614091942516,134.240220856102
1978,13.8242424713957,143.151646333465
1979,15.8211124111749,140.830276077163
1980,23.9898056099879,142.490619307832
1981,12.2123064658815,144.597819634703
1982,12.3779362284907,143.612728310502
1983,56.0180350788167,139.893468913422
1984,18.7979301201471,138.024772313297
1985,16.2178029101273,146.079726027397
1986,19.3834155980801,137.694337899543
1987,16.4537780378233,136.361792237443
1988,18.0713960473977,142.641279599271
1989,14.005987542098,143.431563926941
1990,14.8185086998652,135.80144977169
1991,16.5395922886256,137.349063926941
1993,43.1282882609049,145.081906392694
1994,12.8485598968169,138.307066210046
1995,12.4709772969969,145.812899543379
1996,17.9427155784032,145.739025500911
1997,15.1444435787368,146.933607305936
1998,10.6837967262892,140.140844748858
1999,10.8094519364458,138.643538812785
2000,11.872482807203,142.187067395264
2001,12.00843695327,138.999828767123
2002,15.3138251102824,140.175684931507
2003,16.473129794683,142.800285388128
2004,25.2998129298618,148.377504553734
2005,11.5974306183494,146.611575342466
2006,14.4527892872445,143.718413242009
2007,14.5132165882817,145.689737442922
2008,14.39617618943,143.578073770492
2009,18.3814775751762,141.533162100457
2010,22.9448633020314,139.455319634703
2011,50.0309650482968,143.92404109589
2012,12.9758911689499,141.122096994536
2013,13.3906224639458,141.888561643836
2014,13.0316715061602,143.427910958904
2015,12.7151921814875,147.039326484018
2016,17.3604146911853,146.260553278689
2017,11.2294518821489,152.458219178082
2018,16.0285942856253,150.784257990868
2019,14.7571699141908,146.537876712329
2020,19.6262381285934,152.9220856102
2021,11.9386867817617,154.935730593607
