"storm_year","max_residual","mean_sea_level"
1951,88.5685970075169,495.084474885845
1952,137.702613589203,496.821265938069
1953,110.832604491812,503.191552511416
1954,194.221824078791,494.876940639269
1955,110.828294681951,501.339383561644
1956,134.52676589931,503.785860655738
1957,156.749341360273,501.038242009132
1958,140.588002757831,503.198287671233
1959,94.9484961568298,501.47899543379
1960,166.908243406343,495.046903460838
1961,146.154627166915,503.888698630137
1962,115.108610308859,501.664269406393
1963,98.3925639155811,498.626484018265
1964,127.916315532956,498.711520947177
1965,130.101473715915,499.926598173516
1966,128.289246170083,502.281164383562
1967,104.843402293616,504.310388127854
1968,144.534765866621,503.874089253188
1969,123.471569466081,499.152853881279
1970,79.5042045691388,501.907534246575
1971,104.169997998519,504.421232876712
1972,130.852337182507,498.735541894353
1973,97.887674160328,502.353424657534
1974,119.660675366456,503.155479452055
1975,118.833261187156,507.665525114155
1976,124.551552910688,501.568989071038
1977,110.743218854545,497.579109589041
1978,118.494737005351,500.467808219178
1979,164.403086180395,504.570205479452
1980,144.000817668834,499.338456284153
1981,91.9480032592827,505.025342465753
1982,94.4766181358988,505.99703196347
1983,144.848886914502,501.665410958904
1984,114.342855943305,502.761612021858
1985,109.92528049562,501.701141552511
1986,104.108003300126,501.854566210046
1987,165.504123408954,503.785730593607
1988,105.373078917593,506.628301457195
1989,137.89697419658,509.078881278539
1990,144.751568497068,510.793264840183
1991,115.536421498193,501.859474885845
1992,116.815959804284,504.186123473696
1993,142.748247161638,501.715753424658
1994,117.376782659222,501.87602739726
1995,127.195310538961,504.888926940639
1996,171.761084497994,499.848702185792
1997,113.872395987971,501.627168949772
1998,134.426670803613,503.970776255708
1999,59.5497941121122,505.825570776256
2000,126.865755582534,502.475295992714
2001,113.796820896914,500.89703196347
2002,153.095575579678,511.33595890411
2003,103.557336067627,504.748630136986
2004,142.155307521713,507.466643897996
2005,111.135449471455,506.631506849315
2006,93.5746216949703,502.095091324201
2007,156.939017325544,510.467465753425
2008,126.328903689654,511.22131147541
2009,95.8073223908319,505.590182648402
2010,141.533556687226,505.454337899543
2011,109.007074485652,508.304566210046
2012,116.923484320097,508.187044626594
2013,86.0177675654074,507.77397260274
2014,93.0519316314982,505.545890410959
2015,105.260855434269,504.390182648402
2016,107.863635760227,505.838911657559
2017,153.039332095395,510.141210045662
2018,89.0308081573392,511.891894977169
2019,158.321315668585,508.947260273973
2020,126.344961938013,512.519353369763
2021,111.860499521492,509.886060052517
2022,102.09344153429,513.033333333333
2023,116.531103717234,511.031621004566
2024,148.208060327036,519.193821564886
