file,n,ok_MSL,ok_ANNMAX,overall_ok,notes
adak_alaska-040-usa-uhslc_fd_annual.csv,65,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2,outlier_spike_n=2"
adak_alaska-040a-usa-uhslc_rq_annual.csv,61,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2,outlier_spike_n=2"
adak_island-9461380-usa-noaa_annual.csv,65,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=3,outlier_spike_n=4"
annapolis-8575512-usa-noaa_annual.csv,88,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2"
antofagasta-080-chl-uhslc_fd_annual.csv,69,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1,outlier_spike_n=2"
antofagasta-080a-chl-uhslc_rq_annual.csv,63,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1,outlier_spike_n=2"
aomoriko-0104-jpn-jodc_pahb_annual.csv,53,False,True,False,"MSL:gappy_years,level_shift_years=1979 | ANNMAX:gappy_years,no_level_shift_detected"
apra_harbor_guam-053a-usa-uhslc_rq_annual.csv,61,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2,outlier_spike_n=3"
asamushi-gs06-jpn-jodc_giaj_annual.csv,66,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
atlantic_city-8534720-usa-noaa_annual.csv,103,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
awashima-hd25-jpn-jodc_jcg_annual.csv,56,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,level_shift_years=1976"
balboa-302-pan-uhslc_fd_annual.csv,106,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=4,outlier_spike_n=7"
balboa-302a-pan-uhslc_rq_annual.csv,107,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=4,outlier_spike_n=7"
baltimore-8574680-usa-noaa_annual.csv,121,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2,outlier_spike_n=3"
brest-822-fra-uhslc_fd_annual.csv,162,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1,outlier_spike_n=2"
brest-822a-fra-uhslc_rq_annual.csv,156,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1,outlier_spike_n=2"
buenaventura-085a-col-uhslc_rq_annual.csv,49,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,level_shift_years=2004,outlier_level_n=5,outlier_spike_n=3"
bunbury-62190-aus-bom_annual.csv,54,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
bundaberg_burnett_heads-59820-aus-bom_annual.csv,54,False,False,False,"MSL:gappy_years,level_shift_years=2010 | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=5,outlier_spike_n=4"
cedar_key-8727520-usa-noaa_annual.csv,94,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2"
charleston_sc-261-usa-uhslc_fd_annual.csv,101,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2,outlier_spike_n=3"
