input_path,exists,gauge_type,is_coastal,number_of_years,station_name,error
/home/pth/GESLA4/DATA/a121tg-a12-nld-cmems,yes,Coastal,yes,11,,
/home/pth/GESLA4/DATA/a2tg-a2t-bel-cmems,yes,Coastal,yes,2,,
/home/pth/GESLA4/DATA/aalesundtg-aal-nor-cmems,yes,Coastal,yes,66,,
/home/pth/GESLA4/DATA/aarhus-aar-dnk-cmems,yes,Coastal,yes,21,,
/home/pth/GESLA4/DATA/aasiaat-aas-grl-gloss,yes,Coastal,yes,3,,
/home/pth/GESLA4/DATA/abashiri-347a-jpn-uhslc_rq,yes,Coastal,yes,69,,
/home/pth/GESLA4/DATA/abashiri-347-jpn-uhslc_fd,yes,Coastal,yes,58,,
/home/pth/GESLA4/DATA/abashiri-ma02-jpn-jodc_jma,yes,Coastal,yes,57,,
/home/pth/GESLA4/DATA/abbotts_harbour-382-can-meds,yes,Coastal,yes,3,,
/home/pth/GESLA4/DATA/abercorn_creek_at_mouth_near_savannah_ga-2198820-usa-usgs,yes,River,no,12,,
/home/pth/GESLA4/DATA/abercorn_creek_near_savannahga-2198810-usa-usgs,yes,River,no,17,,
/home/pth/GESLA4/DATA/aberdeen-9441187-usa-noaa,yes,Coastal,yes,2,,
/home/pth/GESLA4/DATA/aberdeen-abe-gbr-bodc,yes,Coastal,yes,76,,
/home/pth/GESLA4/DATA/aberdeen-abe-gbr-cmems,yes,Coastal,yes,36,,
/home/pth/GESLA4/DATA/abidjanridi-230a-civ-uhslc_rq,yes,Coastal,yes,7,,
/home/pth/GESLA4/DATA/abrams_river-380-can-meds,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/absecon_channel_at_atlantic_city_nj-1410600-usa-usgs,yes,Coastal,yes,22,,
/home/pth/GESLA4/DATA/absecon_creek_at_absecon_nj-1410510-usa-usgs,yes,Coastal,yes,24,,
/home/pth/GESLA4/DATA/aburatsu-354a-jpn-uhslc_rq,yes,Coastal,yes,92,,
/home/pth/GESLA4/DATA/aburatsu-354-jpn-uhslc_fd,yes,Coastal,yes,65,,
/home/pth/GESLA4/DATA/aburatsu-ma41-jpn-jodc_jma,yes,Coastal,yes,64,,
/home/pth/GESLA4/DATA/acadia_cove-4170-can-meds,yes,Coastal,yes,2,,
/home/pth/GESLA4/DATA/acajutla-082a-slv-uhslc_rq,yes,Coastal,yes,40,,
/home/pth/GESLA4/DATA/acajutla-082b-slv-uhslc_rq,yes,Coastal,yes,9,,
/home/pth/GESLA4/DATA/acajutla-082c-slv-uhslc_rq,yes,Coastal,yes,9,,
/home/pth/GESLA4/DATA/acajutla-082-slv-uhslc_fd,yes,Coastal,yes,16,,
/home/pth/GESLA4/DATA/acajutla-9648958-usa-noaa,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/acapulco-316-mex-unam_hist,yes,Coastal,yes,55,,
/home/pth/GESLA4/DATA/acapulcoapi_nivelcbs-41-mex-unam,yes,Coastal,yes,4,,
/home/pth/GESLA4/DATA/acapulcoapi_radar-41-mex-unam,yes,Coastal,yes,4,,
/home/pth/GESLA4/DATA/acapulco_gro-316a-mex-uhslc_rq,yes,Coastal,yes,42,,
/home/pth/GESLA4/DATA/acapulco_gro-316b-mex-uhslc_rq,yes,Coastal,yes,7,,
/home/pth/GESLA4/DATA/acapulco_gro-316c-mex-uhslc_rq,yes,Coastal,yes,5,,
/home/pth/GESLA4/DATA/acapulco_gro-316-mex-uhslc_fd,yes,Coastal,yes,5,,
/home/pth/GESLA4/DATA/acapulcoyates_flotador-2-mex-unam,yes,Coastal,yes,4,,
/home/pth/GESLA4/DATA/adak_alaska-040a-usa-uhslc_rq,yes,Coastal,yes,72,,
/home/pth/GESLA4/DATA/adak_alaska-040-usa-uhslc_fd,yes,Coastal,yes,76,,
/home/pth/GESLA4/DATA/adak_island-9461380-usa-noaa,yes,Coastal,yes,76,,
/home/pth/GESLA4/DATA/adams_bayou_at_fm_3247_nr_orange_tx-8030730-usa-usgs,yes,River,no,8,,
/home/pth/GESLA4/DATA/adams_bayou_at_sh87_nr_orange_tx-8030800-usa-usgs,yes,River,no,8,,
/home/pth/GESLA4/DATA/aden-172a-yem-uhslc_rq,yes,Coastal,yes,8,,
/home/pth/GESLA4/DATA/aden-172-yem-uhslc_fd,yes,Coastal,yes,12,,
/home/pth/GESLA4/DATA/admiralty_inlet-65865-can-meds,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/admiralty_island-6220-can-meds,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/aero_trading-9338-can-meds,yes,Coastal,yes,3,,
/home/pth/GESLA4/DATA/agnes_cove-9455120-usa-noaa,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/aguadilla-9759412-usa-noaa,yes,Coastal,yes,7,,
/home/pth/GESLA4/DATA/aguadilla_pr-263a-usa-uhslc_rq,yes,Coastal,yes,7,,
/home/pth/GESLA4/DATA/aguchik_island-9456901-usa-noaa,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/aha,yes,,no,,,
/home/pth/GESLA4/DATA/aialik_bay-9455145-usa-noaa,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/aialik_sill-9455146-usa-noaa,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/aigio-aig-grc-cmems,yes,Coastal,yes,9,,
/home/pth/GESLA4/DATA/aiguillon_sur_mer-6257-fra-refmar,yes,Coastal,yes,3,,
/home/pth/GESLA4/DATA/aiguillonsurmertg_60minute-aig-fra-cmems,yes,Coastal,yes,3,,
/home/pth/GESLA4/DATA/airstrip_point-6765-can-meds,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/aiw_at_highway_544_at_socastee_sc-2110725-usa-usgs,yes,River,no,19,,
/home/pth/GESLA4/DATA/aiw_at_highway_9_at_nixons_crossroads_sc-2110777-usa-usgs,yes,Coastal,yes,19,,
/home/pth/GESLA4/DATA/ajaccio_aspretto-300-fra-refmar,yes,Coastal,yes,30,,
/home/pth/GESLA4/DATA/ajacciotg_60minute-aja-fra-cmems,yes,Coastal,yes,30,,
/home/pth/GESLA4/DATA/akabane-ma81-jpn-jodc_jma,yes,Coastal,yes,17,,
/home/pth/GESLA4/DATA/akeftapak-9468283-usa-noaa,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/akita-2002-jpn-jodc_pahb,yes,Coastal,yes,14,,
/home/pth/GESLA4/DATA/akreavenek_island-5141-can-meds,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/akulivik-4538-can-meds,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/akun_cove-9462719-usa-noaa,yes,Coastal,yes,3,,
/home/pth/GESLA4/DATA/akune-gs15-jpn-jodc_giaj,yes,Coastal,yes,54,,
/home/pth/GESLA4/DATA/akutan-9462694-usa-noaa,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/akyab_sittwe-907a-mmr-uhslc_rq,yes,Coastal,yes,13,,
/home/pth/GESLA4/DATA/akyab_sittwe-907-mmr-uhslc_fd,yes,Coastal,yes,18,,
/home/pth/GESLA4/DATA/alafia_river_at_bell_shoals_near_riverview_fl-2301638-usa-usgs,yes,River,no,14,,
/home/pth/GESLA4/DATA/alafia_river_at_gibsonton_fl-2301721-usa-usgs,yes,River,no,16,,
/home/pth/GESLA4/DATA/alafia_river_at_us_301_at_riverview_fl-2301718-usa-usgs,yes,River,no,19,,
/home/pth/GESLA4/DATA/alafia_river_near_bell_shoals_rd_nr_riverview_fl-2301635-usa-usgs,yes,River,no,6,,
/home/pth/GESLA4/DATA/alameda-9414750-usa-noaa,yes,Coastal,yes,48,,
/home/pth/GESLA4/DATA/alameda_nas-9414767-usa-noaa,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/alawai-421-usa-uhslc_fd,yes,Coastal,yes,3,,
/home/pth/GESLA4/DATA/albany-62120-aus-bom,yes,Coastal,yes,58,,
/home/pth/GESLA4/DATA/albany-8518995-usa-noaa,yes,River,no,7,,
/home/pth/GESLA4/DATA/albert_harbour-5803-can-meds,yes,Coastal,yes,3,,
/home/pth/GESLA4/DATA/alberton-1885-can-meds,yes,Coastal,yes,2,,
/home/pth/GESLA4/DATA/alblasserdam-albsdm-nld-rws_hist,yes,River,no,16,,
